lineage,clinical_count,clinical_adjusted_pct,clinical_first_detection_date,ww_count_0.01,ww_adjusted_pct_0.01,ww_first_detection_date_0.01,ww_count_0.02,ww_adjusted_pct_0.02,ww_first_detection_date_0.02,ww_count_0.04,ww_adjusted_pct_0.04,ww_first_detection_date_0.04,ww_count_0.08,ww_adjusted_pct_0.08,ww_first_detection_date_0.08,ww_count_0.16,ww_adjusted_pct_0.16,ww_first_detection_date_0.16,ww_count_0.32,ww_adjusted_pct_0.32,ww_first_detection_date_0.32
AY.44,0,0.0,,1,0.0017389441825200083,2023-04-27,1,0.0018404175872622117,2023-04-27,1,0.002040112918155442,2023-04-27,1,0.0024836543821626276,2023-04-27,1,0.0035267010237355,2023-04-27,0,0.0,
AY.45,0,0.0,,4,0.0009623207801002826,2025-03-02,3,0.0009286648288609005,2025-03-03,2,0.000846626576483208,2025-03-03,0,0.0,,0,0.0,,0,0.0,
AY.88,0,0.0,,2,0.0001563956713638995,2025-02-26,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
AY.98,0,0.0,,1,9.43912151370394e-05,2025-03-05,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B,1,0.0012134891453395948,2024-01-01,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1,0,0.0,,1,0.0003134828131802616,2024-09-29,1,0.0003317756190686411,2024-09-29,1,0.00036777508054454313,2024-09-29,0,0.0,,0,0.0,,0,0.0,
B.1.1.101,0,0.0,,1,0.00015464407429228002,2023-05-08,1,0.00016366809064621686,2023-05-08,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.119,0,0.0,,1,0.0003727572264088043,2023-06-20,1,0.00039450889922624193,2023-06-20,1,0.00043731526323654413,2023-06-20,0,0.0,,0,0.0,,0,0.0,
B.1.1.125,0,0.0,,1,0.00010191604064913265,2023-06-22,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.128,0,0.0,,1,8.832710273826296e-05,2023-12-27,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
